店名,大温地址,纬度,经度,优惠详情,分类,地址来源URL,优惠来源,备注,地图搜索URL
海底捞（Broadway）,"3204 W Broadway, Vancouver, BC V6K 2H4",49.26398,-123.1762,周一至周五（节假日除外）菜品 20% off,火锅/餐饮,https://www.restaurantji.com/bc/vancouver/haidilao-hotpot-west-broadway-/,用户提供的海报及后续更正,门店地址已核实；优惠适用条件按用户提供。,https://www.google.com/maps/search/?api=1&query=3204%20W%20Broadway%2C%20Vancouver%2C%20BC%20V6K%202H4
Rumble Boxing Richmond,"105-5766 Gilbert Rd, Richmond, BC V7C 0G1",49.17211,-123.14647,20% off,健身,https://rumbleboxing.com/vancouver,用户提供的海报及后续更正,地址来自品牌门店页；优惠按用户提供。,https://www.google.com/maps/search/?api=1&query=105-5766%20Gilbert%20Rd%2C%20Richmond%2C%20BC%20V7C%200G1
From 1% Skin Lab,"2828 Granville St, Vancouver, BC V6H 3J5",49.25958,-123.13872,护肤品 20% off；脱毛 50% off；秋季皮肤管理：$150 体验价，$200 两次；一个指定项目 15% off；两个指定项目 20% off,美容护肤,https://f1skinlab.ca/pages/book-now,用户提供的海报及后续更正,两处海报优惠合并为一行。原图显示“秋季皮肤管理”；最新文字写“欧年皮肤管理”，项目名称待确认。,https://www.google.com/maps/search/?api=1&query=2828%20Granville%20St%2C%20Vancouver%2C%20BC%20V6H%203J5
Share Tea,"1020 Mainland St Unit 30, Vancouver, BC V6B 2T5",49.2761,-123.11928,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=1020%20Mainland%20St%20Unit%2030%2C%20Vancouver%2C%20BC%20V6B%202T5
Share Tea,"3619 Kingsway, Vancouver, BC V5R 5M1",49.2312,-123.0278,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=3619%20Kingsway%2C%20Vancouver%2C%20BC%20V5R%205M1
Share Tea,"3348 Wesbrook Mall, Vancouver, BC V6S 0A8",49.25449,-123.23503,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=3348%20Wesbrook%20Mall%2C%20Vancouver%2C%20BC%20V6S%200A8
Share Tea,"1673 Renfrew St, Vancouver, BC V5K 4E1",49.2698,-123.0441,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=1673%20Renfrew%20St%2C%20Vancouver%2C%20BC%20V5K%204E1
Share Tea,"19705 Fraser Hwy Unit 134A, Langley, BC V3A 7E9",49.1068,-122.6738,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=19705%20Fraser%20Hwy%20Unit%20134A%2C%20Langley%2C%20BC%20V3A%207E9
Share Tea,"9965 152 St Unit 4B, Surrey, BC V3R 4G5",49.1834,-122.8005,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=9965%20152%20St%20Unit%204B%2C%20Surrey%2C%20BC%20V3R%204G5
Share Tea,"435 North Rd, Coquitlam, BC V3K 3V9",49.2486,-122.8938,10% off,饮品/奶茶,https://www.1992sharetea.com/canada-old,用户提供的海报及后续更正,海报未注明参与分店；优惠是否适用此分店需向商家确认。,https://www.google.com/maps/search/?api=1&query=435%20North%20Rd%2C%20Coquitlam%2C%20BC%20V3K%203V9
HAKUMORI,"5154 Still Creek Ave, Burnaby, BC V5C 4E4",49.2604,-122.9984,官网所有商品使用折扣码 UBCCSSA，享 15% off,食品零售/网店,https://hakumori.shop/pages/contact,用户提供的海报及后续更正,品牌官网列有 Burnaby 自取地址；需预约取货。,https://www.google.com/maps/search/?api=1&query=5154%20Still%20Creek%20Ave%2C%20Burnaby%2C%20BC%20V5C%204E4
春芳号 Chun Fun How,"1067 W Broadway, Vancouver, BC",49.26376,-123.1284,10% off,饮品/奶茶,https://www.sssuperzwpp.com/Chunfunhow/,用户提供的海报及后续更正,来源页列出两处大温地址；优惠是否适用所有分店需确认。,https://www.google.com/maps/search/?api=1&query=1067%20W%20Broadway%2C%20Vancouver%2C%20BC
春芳号 Chun Fun How,"#105-4751 Garden City Rd, Richmond, BC",49.17789,-123.12549,10% off,饮品/奶茶,https://www.sssuperzwpp.com/Chunfunhow/,用户提供的海报及后续更正,来源页列出两处大温地址；优惠是否适用所有分店需确认。,https://www.google.com/maps/search/?api=1&query=%23105-4751%20Garden%20City%20Rd%2C%20Richmond%2C%20BC
First Bite Tart & Cake,"153-5951 Minoru Blvd, Richmond, BC",49.17108,-123.14045,10% off,甜品/烘焙,https://firstbitevan.com/ | https://mapcarta.com/fr/N12903810216,用户提供的海报及后续更正,坐标来自 OpenStreetMap/Mapcarta。,https://www.google.com/maps/search/?api=1&query=153-5951%20Minoru%20Blvd%2C%20Richmond%2C%20BC
Tokyo in April,"526 Abbott St / International Village Mall, 88 W Pender St Unit 1103, Vancouver, BC V6B 6N7",49.28028,-123.1067,4 人及以上用餐 10% off,餐饮/日料,https://internationalvillagemall.ca/store/tokyo-in-april/ | https://www.restaurantji.com/bc/vancouver/tokyo-in-april-japanese-kitchen-/,用户提供的海报及后续更正,两条来源使用相邻街道地址，均指向 International Village 一带；出发前建议确认入口地址。,https://www.google.com/maps/search/?api=1&query=526%20Abbott%20St%20%2F%20International%20Village%20Mall%2C%2088%20W%20Pender%20St%20Unit%201103%2C%20Vancouver%2C%20BC%20V6B%206N7
Slothfuls,"5242 Kingsway, Burnaby, BC",49.2258,-122.984,10% off,饮品/甜品,https://www.slothfuls.com/about,用户提供的海报及后续更正,地址来自品牌官网。,https://www.google.com/maps/search/?api=1&query=5242%20Kingsway%2C%20Burnaby%2C%20BC
黑牛家（Hot Spot Buffet）,"240-3340 Kingsway, Vancouver, BC V5R 5L1",49.23318,-123.03444,饮料 10% off,餐饮/烧烤火锅,https://mapcarta.com/N10983041803,用户提供的海报及后续更正,坐标来自 OpenStreetMap/Mapcarta。,https://www.google.com/maps/search/?api=1&query=240-3340%20Kingsway%2C%20Vancouver%2C%20BC%20V5R%205L1
MYST 觅食,"6400 Kingsway, Burnaby, BC V5E 1C5",49.21935,-122.97069,店内消费 10% off；50 份及以上活动餐食 15% off；100 份及以上活动餐食 20% off,餐饮/活动餐饮,https://myst6400.com/zh-hant/ | https://mapcarta.com/N4742507063,用户提供的海报及后续更正,官网列有三处分店；优惠是否适用于所有分店需确认。Burnaby 坐标来自 OpenStreetMap/Mapcarta。,https://www.google.com/maps/search/?api=1&query=6400%20Kingsway%2C%20Burnaby%2C%20BC%20V5E%201C5
MYST 觅食,"2028 W 41st Ave, Vancouver, BC V6M 1Y8",49.2355,-123.153,店内消费 10% off；50 份及以上活动餐食 15% off；100 份及以上活动餐食 20% off,餐饮/活动餐饮,https://myst6400.com/zh-hant/,用户提供的海报及后续更正,官网列有三处分店；优惠是否适用于所有分店需确认。,https://www.google.com/maps/search/?api=1&query=2028%20W%2041st%20Ave%2C%20Vancouver%2C%20BC%20V6M%201Y8
MYST 觅食,"6225 200 St, Langley, BC",49.1158,-122.657,店内消费 10% off；50 份及以上活动餐食 15% off；100 份及以上活动餐食 20% off,餐饮/活动餐饮,https://myst6400.com/zh-hant/,用户提供的海报及后续更正,官网列有三处分店；优惠是否适用于所有分店需确认。,https://www.google.com/maps/search/?api=1&query=6225%20200%20St%2C%20Langley%2C%20BC
添璽（The North Bistro）,"4540 No. 3 Rd Unit 1200, Richmond, BC V6X 3V7",49.1816,-123.1365,10% off,餐饮/中餐,https://www.restaurantji.com/bc/richmond/k-squared-mansion-/ | https://sunny1948.blogspot.com/2025/07/blog-post_5.html,用户提供的海报及后续更正,店名“添璽”已由用户确认；公开商家目录目前标为已结业，优惠及重新营业状态需向商家确认。,https://www.google.com/maps/search/?api=1&query=4540%20No.%203%20Rd%20Unit%201200%2C%20Richmond%2C%20BC
柠记·手打柠檬茶,"4260 No. 3 Rd, Richmond, BC V6X 2C2",49.1834,-123.1366,10% off,饮品/奶茶,https://www.fantuanorder.com/dianping/zh-CN/store/richmond-1258658977-ca,用户提供的海报及后续更正,地址来自饭团商家页。,https://www.google.com/maps/search/?api=1&query=4260%20No.%203%20Rd%2C%20Richmond%2C%20BC%20V6X%202C2
Wren Cafe,"280 Nelson St, Vancouver, BC V6B 2E2",49.277,-123.1185,15% off,咖啡/餐饮,https://www.wrencafe.ca/,用户提供的海报及后续更正,地址来自品牌官网。,https://www.google.com/maps/search/?api=1&query=280%20Nelson%20St%2C%20Vancouver%2C%20BC%20V6B%202E2
豆捞坊列治文店,"#720-5300 No. 3 Rd, Richmond, BC V6X 2X9",49.1755,-123.1362,非 Happy Hour 时段单点菜品 20% off；Happy Hour 时段单点菜品 30% off,餐饮/火锅,https://www.fantuanorder.com/dianping/zh-CN/store/Restaurant-5640924164-ca,用户提供的海报及后续更正,按用户确认记录为列治文店。,https://www.google.com/maps/search/?api=1&query=%23720-5300%20No.%203%20Rd%2C%20Richmond%2C%20BC%20V6X%202X9
duoduo 酸奶碗,"#130-7971 Alderbridge Way, Richmond, BC V6X 2A4",49.17783,-123.13835,10% off,甜品/酸奶碗,https://www.fantuanorder.com/zh-CN/store/duo-duo-fruit-shop/ca-16702,用户提供的海报及后续更正,优惠是否适用所有分店需确认。,https://www.google.com/maps/search/?api=1&query=%23130-7971%20Alderbridge%20Way%2C%20Richmond%2C%20BC%20V6X%202A4
duoduo 酸奶碗,"5318 Grimmer St, Burnaby, BC",49.2238,-122.988,10% off,甜品/酸奶碗,https://staging.nomsmagazine.com/richmonds-yogurt-shop-duoduo-burnaby/,用户提供的海报及后续更正,分店地址来源较早；出发前确认营业状态及优惠适用范围。,https://www.google.com/maps/search/?api=1&query=5318%20Grimmer%20St%2C%20Burnaby%2C%20BC
YOYO 低卡工厂 FitBox,线上订餐；大温配送（无公开实体店地址）,49.2606,-123.246,15% off,轻食/预制餐,https://fitboxmeal.ca/legal/delivery,用户提供的海报及后续更正,优惠按用户最新确认；品牌说明向大温多个城市配送，实际覆盖地址以结账页为准。,
Deco Nova K歌之王,"4000 No. 3 Rd Unit 3300, Richmond, BC V6X 0J1",49.1855,-123.1366,15% off,娱乐/KTV,https://deconova.ca/story/,用户提供的海报及后续更正,优惠按用户最新确认；门店地址来自商家页面。,https://www.google.com/maps/search/?api=1&query=4000%20No.%203%20Rd%20Unit%203300%2C%20Richmond%2C%20BC%20V6X%200J1
V+Club / V+ Karaoke,"140-8171 Ackroyd Rd, Richmond, BC V6X 3K1",49.17276,-123.13518,V+Club 10% off；KTV 房费 15% off,娱乐/KTV,https://vpluskaraoke.ca/contact-us/ | https://mapcarta.com/N6147068649,用户提供的海报及后续更正,两项优惠对应同一门店；坐标来自 OpenStreetMap/Mapcarta。,https://www.google.com/maps/search/?api=1&query=140-8171%20Ackroyd%20Rd%2C%20Richmond%2C%20BC%20V6X%203K1
桃花坞 Lovin Tea,"2040 Hazelbridge Way, Richmond, BC V6X 1E4",49.1848,-123.1332,麻将 $20/人，全天任打；另享 10% off,饮品/甜品/娱乐,https://www.ubereats.com/ca/store/lovin-tea-%E6%A1%83%E8%8A%B1%E5%9D%9E/WT3sqeKkXCCMt_8sArvJgw | https://50282-lovin-tea.multiscreensite.com/,用户提供的海报及后续更正,地址来自外送商家页；麻将细节按用户提供。,https://www.google.com/maps/search/?api=1&query=2040%20Hazelbridge%20Way%2C%20Richmond%2C%20BC%20V6X%201E4
